,Hotel_name,Location,Price,Discount,Rating
244,OYO Le Alfanso Near Jama Masjid,"Near New Delhi Railway Station, Delhi",599,74%,2
245,OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",957,67%,1343
246,Flagship Green High Near Laxmi Nagar Metro Station,"NEAR FRUIT POWER, Laxmi Nagar Metro Station, Delhi",839,67%,29
247,OYO Townhouse 286 Near Kohat Enclave Metro Station ,"Near Pitampura Metro Station, Delhi",744,68%,82
248,OYO Flagship 69760 Hotel Anchal Deluxe,"Near New Delhi Railway Station, Delhi",731,70%,722
249,Collection O Ramji 7 Grand Near Tdi Mall,"Near Kirti Nagar Metro Station, Delhi",852,69%,1020
250,Collection O Metro View Ashok Vihar Near Shalimar Bagh Metro Station,"Pocket C 1, Delhi",1481,65%,82
251,OYO Flagship 81569 The Red Rose Inn,"India, Delhi",677,75%,856
252,OYO Hotel Grand Peepal,"Near Karol Bagh metro, WEA, Delhi",1005,67%,6
253,OYO Hotel J P Inn Near Satyam Inox Patel Nagar,"Near Patel Nagar Metro, Block 1, Delhi",1360,65%,80
254,OYO Flagship R K Residency Near Jhilmil Metro Station,"488/5a Mcd Primary School Dilshad Garden, Delhi",549,69%,319
255,Meet You There Shakarpur,"Shakarpur Laxmi Nagar Metro, Delhi",1767,65%,395
256,Hotel City Plaza,"Near Laxmi Nagar, Delhi",1360,65%,757
257,Flagship Hotel R.k Near Akshardham,"Near South Ganesh Nagar, Delhi",996,67%,31
258,Collection O Hotel Green Palace Near V3S Mall,"H.no.-a3 Block A Jagat Puri Red Light Near Sbi Bank Jagat Puri East Delhi, Delhi",595,68%,15
259,Super OYO 703579 Flagship Santosh Residency Near V3s Mall,"Vishwas Nagar, Delhi",1414,67%,166
260,OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",1767,65%,6
261,OYO Flagship 80289 Hotel Neha Inn Near Jama Masjid,"Paharganj  near Delhi Railway Station)null, Delhi",731,70%,4
262,OYO Flagship 81012 S P Rooms,"Mahendra Park, Delhi",1360,65%,4
263,OYO Hotel Crown Continental Near Sarai Rohilla Railway Station,"11005, Delhi",800,67%,53
264,Hotel City Plaza,"Near Laxmi Nagar, Delhi",1257,65%,65
265,Collection O 811248 Hotel Crystal Stay,"old Arjun Nagar, Delhi",1705,65%,38
266,OYO 811030 Ocean Guest House,"Brij Puri, Delhi",996,67%,262
267,OYO 804648 Hotel SP Deluxe ,"Near Gurudwara Shri Bangla Sahib, New Delhi",1226,67%,864
268,Flagship Hansa Residency Near Akshardham,"Laxmi Nagar, Delhi",852,69%,18
269,Flagship Hotel Dp Palace Near Jama Masjid,"Delhi, Delhi",1449,59%,12
270,Flagship 18618 Ocean Blue Residency Near V3S Mall," A-14 Pridarshni Vihar Laxminagar, Delhi",1943,65%,5
271,OYO The Chill Palace Near Haiderpur Metro Station,"North West Delhi, Delhi",1314,67%,141
272,OYO Flagship 27928 Hotel Vintage ,"Near RK Ashram Metro station, Delhi",1481,65%,16
273,OYO Flagship 805147 Hotel Sona International Near Gurudwara Shri Bangla Sahib,"Paharganj  near Delhi Railway Station)null, Delhi",1360,65%,33
274,OYO Flagship 811430 Hotel Mayur Inn,"B-3 Near DA BLOCK SHALIMAR VILLAGE, Delhi",1334,65%,3
275,OYO Hotel Emporio Near Jama Masjid,"Near Shela Cinema, DB Gupta Road, Delhi",989,64%,82
276,OYO Flagship 66745 Le Orange,"8880-81, Gali Number 2, Multani Dhanda, Paharganj, New Delhi, Delhi - 110055",696,79%,141
277,Flagship Deva Guest House Near Johari Enclave Metro Station,"Ganga Enclave Delhi, Delhi",1360,65%,65
278,OYO Flagship 811181 Golden Key Inn,"plot no 341 Shalimar village opposite railway live, Delhi",2048,67%,12
279,OYO Flagship R K Residency Near Jhilmil Metro Station,"488/5a Mcd Primary School Dilshad Garden, Delhi",632,75%,22
280,OYO Hotel Emporio Near Jama Masjid,"Near Shela Cinema, DB Gupta Road, Delhi",909,67%,125
281,Flagship Hansa Residency Near Akshardham,"Laxmi Nagar, Delhi",2306,67%,33
282,OYO Flagship 805147 Hotel Sona International Near Gurudwara Shri Bangla Sahib,"Paharganj  near Delhi Railway Station)null, Delhi",2190,70%,72
283,OYO Flagship 83552 Anchal Guest House,"India, Delhi",2048,67%,38
284,Collection O 811806 Orange Saffron,"Shakurpurnull, Delhi",799,75%,132
285,OYO Hotel Town ,Near Karol bagh metro station,1470,69%,191
286,Flagship Deva Guest House Near Johari Enclave Metro Station,"Ganga Enclave Delhi, Delhi",576,80%,263
287,Flagship Hotel Hans Dx Near Jama Masjid,"Paharganj  near Delhi Railway Station), Delhi",1195,67%,262
288,Flagship Hotel Dp Palace Near Jama Masjid,"Delhi, Delhi",1130,67%,6
289,SPOT ON Shyam Palace Near Gurudwara Shri Bangla Sahib,"Near R K Ashram Metro Station, Pahar Ganj, Delhi",1817,65%,9
290,Capital O Hotel Sunberry,"New Delhi, Delhi",859,71%,62
291,OYO 80168 Green Villa,"Near KOSMOS Hospital, Anand Vihar, Delhi C-61 Above SBI Bank",1049,65%,123
292,Flagship 18618 Ocean Blue Residency Near V3S Mall," A-14 Pridarshni Vihar Laxminagar, Delhi",626,73%,1
293,OYO Flagship 80919 Hotel Vinayaka Inn Near Gurudwara Shri Bangla Sahib,", Delhi",1692,66%,3577
294,Flagship Hotel City Heart,"Paharganj , Delhi",949,64%,138
295,OYO TOWNHOUSE  R K Residency Near Mother dairy gate no. 2,"Flat No 3 Near Fair Deal South Ganesh Nagar, Delhi",1820,65%,115
296,Collection O Dayz Inn Deluxe Near Satyam Inox Patel Nagar,"B Block Lawrence Road Industrial Area Near Keshavpuram Fire Station Delhi 110035, Delhi",449,86%,270
297,OYO Flagship 80818 Hotel Metro Inn Near Gurudwara Shri Bangla Sahib,"Aram Bagh Paharganj Delhi, Delhi",1045,67%,2846
298,SPOT ON Hotel Silver Palace Dx,"Near RK ASHRAM METRO STATION, Pahar Ganj, Delhi",1008,67%,72
299,SPOT ON 812212 Country Residency,"Laxmi Nagar, Delhi",918,67%,22
300,Flagship Kashish Residency,"single storey, Delhi",953,67%,352
301,OYO Townhouse 738 Family In,"Raj Block Naveen Shahdara Delhi, Delhi",1130,64%,1215
302,Super OYO Collection O Shalimar Bagh Near Haiderpur Metro Station,"Shalimar Village, Delhi",1668,67%,3
303,Flagship Hotel Signature Village,"Near KD Campus, Gali No. 6A, Gopalpur Village",1793,64%,2
304,Flagship Good Will Near Haiderpur Metro Station,"Gobind Mohalla, Delhi",1142,67%,2
305,OYO Flagship 84596 Hotel North Campus,"Civil Lines Tehsilnull, Delhi",1788,65%,1
306,OYO Flagship 811530 Bed Box,"gali no 1 kamla nagar, Delhi",1232,67%,34
307,Collection O Model Town Metro View Near Model Town Metro Station,"Near Model Town Metro Station, Delhi",1262,64%,7286
308,OYO Flagship 79243 Hotel Greenwoods,"Paharganj, Delhi",1036,67%,324
309,OYO Flagship 811844 Yes Sir Guest House,"PAHARGANJ, Delhi",777,75%,1945
310,SPOT ON Jain House Near V3s Mall,"Near East Azad Nagar, Azadnagar, Delhi",1747,65%,1925
311,OYO Flagship 811980 Hotel Rainbow,"Block A kewal park extension opposite metro pillar number 78 Azadpur Delhi 110033, Delhi",688,72%,1688
312,Collection O 23641 Hotel Cozy Vibes Stay,"Near Inderlok Metro Station, Anandnagar, Delhi",627,73%,5595
313,OYO Flagship 81175 Hotel Moon Stay,"New Delhi, Delhi",909,67%,1558
314,Flagship Crown Town Guest House,"near by Mandoli Jail Back Side, Delhi",1614,65%,990
315,OYO 811874 Hotel Maharaja,"Address- Shop No : 30-32-34 Old Market Main Bus Stand Timarpur Delhi 110054.  Opposite DTC Bus Stand, Delhi",679,68%,94
316,OYO Flagship 812028 Brownie,"BS Colony Vishwas Nagar Delhi 110032, Delhi",984,67%,5054
317,SPOT ON 812286 Shivam Guest House ,"3 Katra baryan laal Kuan farash khana Chandni chowk, Delhi",1587,65%,1555
318,Flagship Mannat Residency Near Shiv Vihar Metro Station,"Near David School, Delhi",1912,64%,3064
319,OYO Flagship 811723 Hotel Sai Ram,"Azadpur, Delhi",1005,67%,690
320,Super OYO Townhouse 143 Hotel Royal Garden Near park Street Mullick bazar crossing,"Near Jameson Inn, Park St, Kolkata",1106,67%,3237
321,Flagship The Nest Inn Near Acropolis Mall,"Near Raj Market, Kolkata",2032,65%,194
322,Flagship Royal Plaza Near Acropolis Mall,"Near GST Bhawan, Ruby, Acropolis Mall",890,65%,5158
323,Collection O Hotel Hamza International Near Howrah Bridge,"Near College Street, MG Road, Kolkata",1086,67%,1162
324,Super OYO Townhouse 1050 Centre Point Inn Near Esplanade Metro Station,"Beside K C Das Sweet Esplanade Post ice, Kolkata",791,67%,1684
325,OYO Townhouse 229 Hotel Mannat International Near Science City Topsia,"Near Bypass Connector, Kolkata",1345,65%,152
326,Super OYO Collection O Ketan Regency Near Acropolis Mall,953 Purbachal Road adapt House Prince Park Kalikapur  in lane between Tata chroma showroom & Yamaha Moters Showroom,576,71%,661
327,Townhouse Oak Hotel Lake View Royal Near Science City,"East Topsia Road, Kolkata",1071,67%,1732
328,Flagship R A Homestay Near Acropolis Mall,"Nitai Nagar, Kolkata",990,67%,2324
329,Collection O 74257 Gokul Residency,"Near Emami City, Nagerbazar, Dum Dum, Kolkata",925,67%,326
330,Super OYO Collection O Hotel Green Leaf Near Acropolis Mall,"Kasba, Kolkata",696,76%,1652
331,Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,1380,67%,1178
332,OYO G R Hospitality,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",820,69%,1063
333,SPOT ON Silver Green Near Netaji Subhash Chandra Bose International Airport,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",1006,67%,823
334,OYO A Retro Near Rdb Cinemas,"Near Tank N0.3, New Town, Rajarhat, Kolkata",1753,65%,695
335,Super OYO Townhouse 75779 The Royal Retreat,"Kolkata International Airport, Belghoria Express Way Noapara & Baranagar Metro Station",1050,69%,725
336,OYO Kuber Residency Near Birla Mandir,"Near Tagore Park, Kasba, Kolkata",1241,65%,756
337,Collection O Aafreen Tower Near St. Thomas's Church,"Esplanade, Kolkata",1136,68%,914
338,Flagship Hotel Shanavi Chinar Park,"29/2 Sayan Abasan, Nishi Kanan, Beside AR Motors, Chinar Park, Kolkata",1458,64%,17
339,Flagship Sonar Bangla Guest House Near Acropolis Mall,"Near G S T Bhawan, Kolkata",576,80%,1094
340,Flagship Royal Palace,"Near Acropolis Mall, Purba Abasan, Kolkata",1071,67%,189
341,OYO Diamond Plaza Near Acropolis Mall,"Kasbah Northnull, Kolkata",955,67%,81
342,Flagship Hotel New Aamaze Inn Near Acropolis Mall,"Near Vivanta Hotel, Kolkata",777,75%,822
343,Flagship Delightful Stay Em Byepass Near Birla Mandir,"Uttar Panchanna Gram, Kolkata",1023,64%,1807
344,Super OYO Hr Inn Near City Centre Salt Lake,"Bidhannagar, Kolkata",1256,67%,31
345,Super OYO SilverKey Deshapriya Park Near Kalighat Kali Temple,"Near EDEN GROUP BUILDING, Manoharpukur, Kolkata",576,80%,828
346,OYO Fantasy Stay Near City Centre Salt Lake,"Near Sector 1, Bidhan Nagar, Kolkata",820,69%,733
347,Collection O De Sivalika Boutique Near Dakshineswar Kali Temple,"Grand Trunk Road, Belur Math,Kolkata",1050,69%,556
348,Flagship Majestic Inn Near Bidhanagar Station,"South Dumdum, Kolkata",816,67%,54
349,Collection O Premium Hotel ,"1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA",1345,65%,667
350,Flagship Diamond Regency Near Birla Mandir,"Near Acropolis Mall, Kolkata",688,72%,1318
351,Flagship Hotel Dreamline Near Acropolis Mall,"Near Sbi E-cornernullnull, Kolkata",611,72%,1188
352,Collection O Motisarai Near Birla Mandir," Park Street, Kolkata",1164,67%,65
353,OYO Pinnacle Auberge,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,1084,67%,649
354,Capital O Fortune Inn Near Birla Mandir,"Kasba, Kolkata",2185,65%,674
355,Capital O Kabita Guest House Near Acropolis Mall,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,2082,65%,68
356,OYO Townhouse 567 MB International,"Beniapukur, Kolkata",746,67%,349
357,Flagship Hotel Divira Inn,"New Town, Kolkata",949,71%,637
358,Super OYO Sagorika Inn,Chinarpark Amenia; Arsalan,549,86%,497
359,Capital O Hotel Gardenia Near Birla Mandir,"Near Laxminarayan Temple, Sarat Bose Road, Kolkata",1654,67%,37
360,Flagship Hotel Rockstar Near Birla Mandir,Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover,1229,65%,1165
361,OYO Flagship Vicky Guest House Near City Centre Salt Lake,"Tcs Gitobitan, Kolkata",1458,64%,117
362,OYO Rooms 91148 Hotel Stay Inn,"Action Area I, Kolkata",1256,67%,637
363,Super OYO Townhouse 095 Akash Ganga Park Circus Near Birla Mandir,"Beniapukur, Kolkata",1030,67%,1115
364,Super OYO Trisha Guest House,"Behind New Life Nurshing Home, Oppssite Arati cinema, Sahabagan, Kolkata",1413,65%,35
365,Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church,"Kulia, Kolkata",1339,67%,489
366,OYO Starlight Guest House Near Birla Mandir,"Shantipally Near Acropolis Mall, Kolkata",1636,65%,51
367,Super OYO Capital O 700752 Hotel Dak Plaza,"Near Axis Mall, CE Block, Newtown, Kolkata 700156",993,67%,1299
368,OYO Flagship 86727 New Diamond Palace,"Kolkata 700107, Kolkata",1334,72%,94
369,Collection O Hotel Paradise Near Chinar Park,"Kolkata West Bengal Kolkata, Kolkata",816,67%,349
370,OYO Hotel City Of Joy,"Salt Lake, Kolkata",2082,65%,17
371,OYO Red Velvet Classic Near Netaji Subhash Chandra Bose International Airport,Kaikhali Above IndusInd Bank ATM Kolkata International Airport 02 Hotel VIP Road,1084,67%,394
372,OYO Flagship Monurama Homestay Near Acropolis Mall,"Purba Diganta, Kolkata",2185,65%,32
373,OYO Green Leaf Hospitality Near City Centre Salt Lake,FD 390 SECTOR 3 SALT LAKE CENTRAL PARK MANI SQUARE CITY CENTRE 1,929,70%,28
374,Flagship Relax View Dumdum Park Near City Centre Salt Lake,"Dum Dum Park, Kolkata",1213,67%,117
375,"Super OYO 22566 Red Velvet Inn Near Chinar park,Airport","Near Chinar Park, Backside of NPG Hotel, Opposite Charnock Hospital",1156,67%,35
376,Capital O Krish Residency,"Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal",1023,64%,674
377,Collection O Avenue Inn Near VIP Road,"288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ",1126,65%,189
378,Super OYO Flagship 89087 Brill Rooms Saltlake City Centre,"Saltlake, Kolkata",1426,65%,235
379,Super OYO Collection O The Coco Inn Near South City Mall,"Near 13C Bus Stand, Regent Estate, Kolkata",929,67%,20
380,Flagship Kalighat,"Near Raja Santosh Road, Alipore, Kolkata",1257,65%,141
381,Flagship R A Homestay Near Acropolis Mall,"Nitai Nagar, Kolkata",1323,68%,34
382,Collection O Hotel Paradise Near Chinar Park,"Kolkata West Bengal Kolkata, Kolkata",949,61%,141
383,OYO Flagship 812089 Laxmi Guest House Jadavpur,"46 Raja S.C.Mallick Road  Raja S.C Mallick Road, Kolkata",878,67%,142
384,Flagship Hotel Dreamline Near Acropolis Mall,"Near Sbi E-cornernullnull, Kolkata",3114,65%,60
385,OYO Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",1474,68%,474
386,Collection O 811014 Hotel Wow,"SALT LAKE, Kolkata",1023,64%,345
387,Flagship Priyangshu Inn,"Madhurdaha, Kolkata",1188,65%,1299
388,Flagship Relax View Dumdum Park Near City Centre Salt Lake,"Dum Dum Park, Kolkata",1034,67%,32
389,Collection O Avenue Inn Near VIP Road,"288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ",1339,65%,19
390,OYO Flagship 812161 Hotel Asha Inn,"BIDHANNAGAR, Kolkata",1041,65%,397
391,Super OYO Capital O 700752 Hotel Dak Plaza,"Near Axis Mall, CE Block, Newtown, Kolkata 700156",1463,64%,165
392,OYO Pinnacle Auberge,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,1314,72%,619
393,OYO Maa Tara Guest House Near Acropolis Mall,"Near R.N.Tagore Hospital, Nitainagar, Kolkata",1680,65%,125
394,Flagship Hmb Guest House Near Salt Lake,"Sector II Salt lake water tank no 8, Kolkata",1660,64%,7
395,Flagship Hotel Red Rose Near Noapara Metro Station,"Dum Dum, Kolkata",1334,65%,141
396,OYO Townhouse 444 Heera Holiday Inn Near St. Thomas's Church,"51,Elliot Road Park Street Near Assembly Of God Church Adjacent 144668:1076985",1156,68%,141
397,Collection O Kyd Guest House Near Indian Museum,"700001, Kolkata",1698,65%,34
398,SPOT ON 812338 Om Palace Guest House,"Near Jalsaghar Netaji Nagar, Kolkata",2082,65%,35
399,OYO Ma Kali Guest House Near City Centre Salt Lake,"Near FD Block, Bidhannagar, Kolkata",1329,65%,428
400,OYO Flagship 90803 Sweet Grove,"Sector V, Kolkata",626,79%,394
401,OYO The Olive Near City Centre Salt Lake,"Near Bus Stand, Anandaloke Hospital, Cl Block, Kolkata",1308,65%,621
402,OYO Hotel Maruti Lodging,"Above Reliance Trends, Raghunathpur, Kolkata",599,82%,158
403,Flagship Kalighat,"Near Raja Santosh Road, Alipore, Kolkata",599,77%,42
404,Collection O 811014 Hotel Wow,"SALT LAKE, Kolkata",949,68%,61
405,OYO Flagship 805260 Saltlake Palace,"Salt Lakenull, Kolkata",1252,67%,8
406,Flagship Amaris Stay Hub Near Science City,"171D/1F/2, 49 Picnic Garden Road, VIP Bazar,  EM Bypass, Near Science City",699,80%,80
407,Flagship Nayak Palace Inn Near Birla Mandir,"Ballygunge, Kolkata",1099,67%,343
408,OYO Hotel Nest Near St. Thomas's Church,"Near Bata More, Royd Street, Kolkata",1437,67%,5
409,OYO Flagship 76211 Honey Regency Near City Centre Salt Lake,"E C Block, Kolkata",850,67%,334
410,Collection O 81128 Enigma,"Ballygunge, Kolkata",1087,67%,55
411,OYO Flagship 812161 Hotel Asha Inn,"BIDHANNAGAR, Kolkata",729,67%,195
412,Collection O Kyd Guest House Near Indian Museum,"700001, Kolkata",925,67%,209
413,Flagship Hotel Red Rose Near Noapara Metro Station,"Dum Dum, Kolkata",815,67%,74
414,OYO Townhouse 444 Heera Holiday Inn Near St. Thomas's Church,"51,Elliot Road Park Street Near Assembly Of God Church Adjacent 144668:1076985",811,67%,245
415,Flagship Swastik Inn Near South City Mall,"Poddar Nagar, Kolkata",1441,67%,260
416,OYO Flagship 76629 Bimla Regency Near Noapara Metro Station,"Police Station, Dum Dum, Kolkata",929,67%,604
417,OYO Flagship 812443 MRS Inn,"Sector III, Kolkata",1199,57%,3
418,OYO Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",2649,25%,6
419,OYO Pallyshree Guest House,"Jyangra Sani Mandir, Baguiati Jora Mandir Chinar Park VIP Road Raghunathpur, Kolkata International Airport",3149,25%,7
420,Oyo Townhouse 92944 Hotel Pan Asia International,"Jatin Das Road, Kolkata",1799,25%,144
421,OYO Flagship Hotel The Buddha Fooding And Lodging,"Near Samabayika Behala, Kolkata",1999,25%,7398
422,Super OYO Townhouse Hotel Vrindavan,"AA-027 Salt Lake Sector 1 1st Cross Road PNB Island Bus Stop Bidhannagar Ultadanga Kolkata 700064, West Bengal",3899,25%,7
423,Collection O Rest In Near Saltlake,"Near Newtown Bus stand , Kolkata",1799,25%,127
424,Flagship 78299 White Stone Hospitality,Aminia Restaurant Back Side Chinar Park Crossing Great Eastern Kolkata Airport,6099,25%,161
425,Collection O 812085 Hotel 7dayz Inn Near City Centre 2,"West Bengal, Kolkata",1799,25%,69
426,Collection O 812607 Hotel G.N Palace,"Bara Bazar, Kolkata",1664,25%,107
427,Flagship Divya Jyoti Inn Near RDB Cinemas,"AI 87 Street No 23 Action Area 1 Newtown, Rajarhat",4849,25%,77
428,OYO Flagship 70403 Chinar Inn,"Behind Shree Shree Bholanath Kali Temple, Kolkata",1699,25%,130
429,OYO Hotel Padmavati Near Netaji Subhash Chandra Bose International Airport,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",1664,25%,24
430,OYO Flagship 81584 Hotel Swagatam,"Rajarhat, Kolkata",3699,25%,129
431,Collection O 64870 Hotel Holiday Science City,SANJHA CHULHA RESTAURANT SCIENCE CITY EM BYE PASS,3149,25%,1
432,OYO Comfort Stays,"Rajarhat, Kolkata",4299,25%,35
433,Flagship Heritage Inn Near City Centre Salt Lake,"Salt Lake, Kolkata",3799,25%,22
434,OYO Flagship 78267 City Inn,Avisar Spencer Kalikapur,4649,25%,16
435,Collection O 76651 Dovers Inn,"Opp Gariahat Police Station, Kolkata",2499,25%,23
436,Capital O Hotel Heritage Near VIP Road,"VIP Rd, Beside Spandhan Hospital, Raghunathpur, Tegharia Netaji International Airport, Rajarhat, Kolkata, West Bengal  700059",3749,25%,21
437,Collection O Tulsi Palace,", Kolkata",3249,25%,53
438,OYO Flagship 812166 Moon Regency ,"Sector 2, Kolkata",4749,25%,13
439,OYO Pratiksha Guest House Near City Centre Salt Lake,"Bangur Avenue Block B, Kolkata Kolkata West Bengal India 700055",3549,25%,23
440,Townhouse 1210 Brill Rooms Inn,"Action Area 1A, Kolkata",2499,25%,90
441,Collection o 82136 Elite Stay,AL283 Al block salt lake sector 2 KOLKATA.,3449,25%,9
442,OYO Flagship Trivedi Inn Near Ruby Hospital,"Kasba, Kolkata",4799,25%,1
443,Super OYO Flagship Mourigram Near Andul Rd,"Howrah, Kolkata",2499,25%,417
444,Flagship Sammy Hospitality,"Salt Lake, Kolkata",3499,25%,1248
445,Flagship Ankita Guest House,"Near Gst Bhawan, Kolkata",4299,25%,137
446,OYO Karunamoyee Guest House Near City Centre Salt Lake,"Karunamoyee Bus Terminal, Bidhannagar, Kolkata",2899,25%,200
447,OYO Smriti Villa Residency,"Sector IIInull, Kolkata",2149,25%,185
448,OYO Sima Inn Guest House Near City Centre Salt Lake,"Near Near Salt Lake, Sector 2, Kolkata",2199,25%,249
449,Flagship Chinar Heavens Near Netaji Subhash Chandra Bose International Airport,"AS/267, KAIKHALI, CHINAR PARK, P.O. - AIRPORT, KOLKATA - 700052",1849,25%,63
450,Flagship Scholars Motel  guest House) Near St. Thomas's Church,"Esplanade, Kolkata",2549,25%,1273
451,Flagship H B Guest House,"Near Ruby Hospital, Kolkata",2449,25%,2372
452,OYO Smriti Villa Near City Centre Salt Lake,"GD-138, GD MARKET, Near NIH, Salt Lake",2049,25%,4151
453,SPOT ON Swapna Guest House Near Birla Mandir,"1 No Hatgachia Dhapa Road Kolkata Behind Itc Sonar Bangla Hotel And Beside Milan Mela Prangan, Kolkata",2049,25%,1101
454,Flagship 7 Div Guest House Near City Centre Salt Lake,"CK 109 Near Saltlake Sector 2, 9 No Water Tank  Karunamayee Bus Stop",2499,25%,1995
455,Flagship New Silver Inn,"Near Tagore Park, Tijala, Kolkata",1699,25%,1762
456,Flagship Tinker Bell Near Acropolis Mall,"Mukundapur, Kolkata",3099,25%,1434
457,OYO Flagship Hotel Suleman Palace Near St. Thomas's Church,"Bux Lane, Kolkata",1999,25%,431
458,Flagship Rakhakali Guest House Fooding And Loding,"near Shalimar station ticket counter , Kolkata",2249,25%,165
459,Flagship Kajali Guest House Near Birla Mandir,"Near Bosepukur, Kasba, Kolkata",2499,25%,1004
,OYO Premium 529 Jasola Vihar,"Pocket-2, Jasola",2649,25%,888
,OYO Flagship 485 GK2 Savitri Cinema,"E Block,GK2",1899,25%,103
,OYO Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",1199,25%,129
,OYO Flagship 513 Delhi Airport,"A Block,Mahipalpur Extension",3549,25%,798
,OYO Premium 055 New Friends Colony Ring Road,CV Raman Marg,2749,25%,2919
,OYO Rooms 658 Nehru Place 1,"E Block, East Of Kailash",2549,25%,943
,OYO Premium 210 Lodhi Road,Sunder Nagar,1599,25%,562
,OYO Rooms 632 Kalkaji Mandir,Kalkaji,1249,25%,709
,OYO Rooms 696 NH8 Mahipalpur,"Road 1, Mahipalpur",2399,25%,1086
,OYO Premium 241 Patel Nagar Metro Station,East Patel Nagar,3249,25%,1320
,OYO Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",3599,25%,2881
,OYO Rooms 689 Indira Gandhi International Airport,"Road No 1, Mahipalpur",2749,25%,140
,OYO Homes 459 New Friends Colony 2,"Second Floor (With Elevator), New Friends Colony ",2599,25%,7
,OYO Premium 033 New Friends Colony,CV Raman Marg,3599,25%,141
,OYO Premium 160 Saket Metro Station,Saket,2049,25%,141
,OYO Rooms 030 IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",1949,25%,34
,OYO Rooms 142 Connaught Place 1,Connaught Circus,1149,25%,35
,OYO Rooms 257 Rajendra Place PUSA Circle,East Patel Nagar,1749,25%,428
,OYO Rooms 171 IGI Airport NH8,"National Highway 8, Near IGI Domestic Airport, Mahipalpur",1849,25%,394
,OYO Rooms 080 Executive IGI Airport,"Mahipalpur Extn, Near Airport, National Highway -8",2699,25%,621
,OYO Premium 182 Siri Fort Sports Complex,Anand Lok,3199,25%,158
,OYO Rooms 118 Vasant Vihar,Vasant vihar,2699,25%,42
,OYO Rooms 457 Azadpur Mandi Extension,Adarsh Nagar,3799,25%,61
,OYO Rooms 183 Opp IGI Airport Main Road,"N.H. 8, Near IGI Airport Road No. 1, Mahipalpur Extension , Mahipalpur",3299,25%,8
,OYO Premium 207 Greater Kailash 1,Greater Kailash 1,2499,25%,80
,OYO Homes 380 GTB Nagar,Kingsaway,2349,25%,343
,OYO Rooms 680 Jasola Pocket 1,Jasola Vihar,2299,25%,5
,OYO Premium 292 Lajpat Nagar Main Road,Lajpat Nagar 4,1849,25%,334
,OYO Rooms 144 CR Park,Outer Ring Road,1799,25%,55
,OYO Rooms 098 South Delhi,"Opposite Karnataka Bank, Kalkaji",1349,25%,195
,OYO Apartments 273 Dwarka Sector 12,Dwarka,1449,25%,209
,OYO Rooms 616 NDLS Gate Number 2,Desh Bandhu Gupta Road,1499,25%,74
,OYO Rooms 195 Patel Nagar Metro Station,East Patel Nagar,4649,25%,245
,OYO Rooms 128 Paschim Vihar District Park,Bhera Enclave,1649,25%,260
,OYO Rooms 613 Kirti Nagar-B&B,Kirti Nagar,1649,25%,604
,OYO Rooms 006 New Friends Colony,Near Bank of Baroda,3999,25%,3
,OYO Rooms 690 Okhla Near Fortis Hospital,"Jamia Nagar, Okhla",1699,25%,6
,OYO Rooms 509 Near Badarpur,"60 Feet Road, Pul Pehlad Pur",1899,25%,7
,OYO Premium 177 Defence Colony,Defence Colony,1399,25%,144
,OYO Rooms 329 8575 Arakashan Road,Arakashan Road,4199,25%,7398
,OYO Rooms 491 Mahipalpur NH8,"National Highway, NH8",2149,25%,7
,OYO Rooms 194 Next To IGI Airport Corporate Special,"Kapashera Extension, Bijwasan Road",3649,25%,127
,OYO Rooms 215 Gangaram Hospital,Old Rajendra Nagar,1249,25%,161
